Contexte Gauche	Mot Cible	Contexte Droit
in their backyard. One difficult call is whether to 	lockdown	 the
hospital was on 	lockdown	 after receiving victims of the shooting at
hospital was on 	lockdown	 after receiving victims of the shooting at
the door. The facility was on 	lockdown	 after receiving several victims
hospital officials said the 	lockdown	 would be in place all night â
said enhanced security protocols like 	lockdown	s are standard when
loved ones during a 	lockdown	.
about 	lockdown	s, said Butler, who has been in the health care security
"Sometimes, we stay in these elevated 	lockdown	 stages longer than we
Still, hospital security experts defend 	lockdown	s as an important
As painful as 	lockdown	s can be for family members, "our first and
The 	lockdown	 began at around 4 p.m. A few hours into it, tensions were
By the time the 	lockdown	 lifted at 9 p.m. on Feb. 14, Fawn Patterson
* 	lockdown	
