Contexte Gauche	Mot Cible	Contexte Droit
	lockdown	
The prison 	lockdown	 continues, more than three weeks after the death
implemented a statewide 	lockdown	 to slow the spread of the
The school remains under 	lockdown	 due to police activity in the
The governor implemented a statewide 	lockdown	 to slow the spread of
The army base was on 	lockdown	 after a report of shots fired.
Banks arenât lending during this credit 	lockdown	.
	lockdown	 British
many schools remained under 	lockdown	 yesterday
Origin of 	lockdown	
	lockdown	 saw Barry spend more time outside hunting for these
funeral in 2020 made headlines after claims it broke 	lockdown	
	lockdown	.â
It arrived when the Covid 	lockdown	 had just begun and attention was
social media, which escalated through the COVID-19 	lockdown	s.
