Contexte Gauche	Mot Cible	Contexte Droit
The report looks at whether 	lockdown	s were timely and reasonable, and
The report says 	lockdown	 could have been avoided if steps such as
	lockdown	 was inevitable, it says.
full stay-at home 	lockdown	 seven days later.
But 	lockdown	 a week earlier could have saved thousands of lives
Bringing in 	lockdown	 a week earlier on 16 March would have meant 23,000
have been reduced by an earlier 	lockdown	.
face of the looming pandemic and "oscillation" on key 	lockdown	
While the 	lockdown	s of 2020 and 2021 undoubtedly saved lives, they also
March 2020; two visits to a second home during 	lockdown	 by the chief
he was in relationship during 	lockdown	.
national 	lockdown	, with Scotland, Wales and Northern Ireland adopting a
to learn lessons from the first 	lockdown	, and introduced tough,
	lockdown	.
Coronavirus 	lockdown	 measures
