Contexte Gauche	Mot Cible	Contexte Droit
A 	lockdown	, or lockup, is a designated period when certain
A 	lockdown	, also known as a lockup, is a period of time in which
* A 	lockdown	 is a period of time in which holders of a companyâs
* The period following the expiration of the 	lockdown	 can be
Although 	lockdown	 periods are not required by law, they are frequently
Because underwriters often insist on a 	lockdown	 period, investors
	lockdown	 doesn't necessarily indicate they're confident in the future
The end of the 	lockdown	 can be turbulent for investors, because it's
A notable example of a 	lockdown	 period is that of Facebook (FB), which
Facebookâs IPO included a 180-day 	lockdown	 period which ended in
expiration of its 	lockdown	 period. The shares had gained nearly 10-fold
	lockdown	 period, new retail and institutional investors quickly took
