Contexte Gauche	Mot Cible	Contexte Droit
the different types of 	lockdown	s commonly used in schoolsâsoft
lockdowns, hard lockdowns, and code red 	lockdown	sâalong with their
A soft lockdown is a precautionary 	lockdown	 used when there is no
During a soft 	lockdown	, access to the school is restricted, and
* Enables staff to quickly upgrade to a hard 	lockdown	 if the threat
While a soft lockdown is generally precautionary, a hard 	lockdown	 is
	lockdown	, teachers and students follow strict protocols to minimize
This level of 	lockdown	 is designed to protect the school community from
training to enhance 	lockdown	 procedures, empowering teachers and
A code red lockdown is the highest level of 	lockdown	, often associated
administrators is critical during a code red 	lockdown	 to ensure a
blue in school to designate different types of 	lockdown	s or
face, necessitating specialized training. Traditional 	lockdown	s are not
traditional 	lockdown	s, ALICE provides options to evacuate, barricade,
