Contexte Gauche	Mot Cible	Contexte Droit
during 	lockdown	.
* Younger age groups have spent 	lockdown	 in considerably poorer
* One-in-five children from a low-income household has spent 	lockdown	
has widened over the 	lockdown	 period.
during the 	lockdown	 period. Moreover, the inequalities in living
