Contexte Gauche	Mot Cible	Contexte Droit
force to cope with the epidemic, including nationwide 	lockdown	. What is
As soon as the 16^th March, the nationwide 	lockdown	 was decided, and
	lockdown	 was decided by Governmental Decree 2020-260, signed by the
of a nationwide 	lockdown	, probably explains why the Decree also
restrictions, the content of the two previous 	lockdown	 Decrees
aggravating the existing 	lockdown	 measures and in particular âreview
