Contexte Gauche	Mot Cible	Contexte Droit
Stay prepared for emergency 	lockdown	 situations at school. Learn how to
	lockdown	.
or 	lockdown	. Practice emergency drills are becoming the norm in
However, in the unlikely event of a 	lockdown	 situation where students
or 	lockdown	.
have insulin always accessible, this may be difficult in a 	lockdown	
medication in the event of a rare 	lockdown	 or evacuation.
	lockdown	/emergency provision in your child's Section 504 Plan or
be incorporated in its 	lockdown	/emergency evacuations protocols and
