Contexte Gauche	Mot Cible	Contexte Droit
Coronavirus: Soldier uses war zone experience to get through 	lockdown	
	lockdown	.
He said: "You can't live in fear. In this 	lockdown	 people need to take
"This 	lockdown	 will not last forever so people need to pick something
find a hobby you like doing until the 	lockdown	 is lifted.
distancing rules under 	lockdown	
He said: "The 	lockdown	 is comparable to operations when we're in
"Being in 	lockdown	 therefore is not alien to the guys who have been on
"In this 	lockdown	 it is hard to see an end point because of the fog of
