Contexte Gauche	Mot Cible	Contexte Droit
Strategies for 	lockdown	
COVID-19 Strategies for 	lockdown	
* Isolation and 	lockdown	
+ Strategies for 	lockdown	
Strategies for managing 	lockdown	
Coping with 	lockdown	 means adapting daily life to these new
Remember the reasons behind the 	lockdown	.
	lockdown	, you are advised to:
during 	lockdown	.
saying goodbye to family members during 	lockdown	.
