Contexte Gauche	Mot Cible	Contexte Droit
Paris 	lockdown	 leaves streets stuck in 1942 for abandoned film set
coronavirus 	lockdown	, leaving the streets with fake facades for corset
neighbourhood was being used as a film set when the 	lockdown	 hit. Now
