Contexte Gauche	Mot Cible	Contexte Droit
China Covid: The politics driving the hellish 	lockdown	s
through the fence, amid new Covid-19 	lockdown	, in Shanghai, China, 10
Driven by Mr Xi's approval, China's 	lockdown	s have been incessant,
Beijing is the only major city to have avoided a full 	lockdown	 so far.
phase of Covid control measures kicked off - comparing 	lockdown	s across
describe 	lockdown	s. The measures had become so controversial and
a "	lockdown	" but reduced movement that somehow would not affect the
enter. But, residents were told, it's not a 	lockdown	.
feels like a series of endless 	lockdown	s.
shut down for a month. Then in March, a 	lockdown	 was announced in
Chengdu was among several cities where a 	lockdown	 caused food shortages
Shanxi faced a 	lockdown	 without a single case being reported: officials
	lockdown	s and mass testing.
actually happening in towns and cities across China. Several 	lockdown	s
total 	lockdown	s by drawing attention to them, while local officials
From April onwards, the 	lockdown	 tallies in Beijing's announcements
	lockdown	s even if only a handful of cases were reported.
And, experts say, it's no coincidence that the 	lockdown	s started to
China that have entered 	lockdown	 each week between 1 March and 12
October 2022. There has been a measurable increase in city 	lockdown	s
Prof Hurst expects the intermittent 	lockdown	s to last at least until
Coronavirus 	lockdown	 measures
