Contexte Gauche	Mot Cible	Contexte Droit
Coronavirus: Half of humanity now on 	lockdown	 as 90 countries call for
coronavirus 	lockdown	, says a trade union.
advisable to wear masks, and whether stricter 	lockdown	s should be
