Contexte Gauche	Mot Cible	Contexte Droit
weeks, the Italian government imposed 	lockdown	s for the entire country
	lockdown	/invacuation (inverse evacuation) procedures, as well as
	lockdown	.^[67]
shelter-in-place orders, shutdowns or 	lockdown	s.^[103]
	lockdown	,^[104] which increased to 2.6 billion people two days
Further information: COVID-19 	lockdown	 in Hubei
limit the rate of spread of the disease. The '	lockdown	' of Wuhan, and
subsequently a wider-scale '	lockdown	' throughout Hubei province, began
Further information: COVID-19 pandemic in Italy and COVID-19 	lockdown	
Eventually the 	lockdown	 was extended until 3 May, although starting
Regional 	lockdown	s were subsequently imposed as further waves of the
began instituting policies of 	lockdown	. Notable among these were
	lockdown	 was announced on 14 March),^[122] Czech Republic, Norway,
As of 18 March 2020, more than 250 million people were in 	lockdown	
Korea had all imposed some degree of 	lockdown	 by 19 February.^[125] As
	lockdown	s.^[125] Africa and Latin America were relatively delayed in
to impose travel bans and lockdowns. Brazil and Mexico began 	lockdown	s
early March.^[125] Much of Africa was on 	lockdown	 by the start of
of the population, were under some form of 	lockdown	 in the United
States,^[127] 59 million people were in 	lockdown	 in South Africa,^[128]
and 1.3 billion people were in 	lockdown	 in India.^[129]^[130]
105. ^ "A third of the global population is on coronavirus 	lockdown	 â
111. ^ Coronavirus: Authorities order the 	lockdown	 of northern Italy to
116. ^ "Italy extends 	lockdown	 until May 3rd despite pressure from
119. ^ Anger as Italy slowly emerges from long Covid-19 	lockdown	 4 May
120. ^ "Coronavirus: Italy imposes regional 	lockdown	 as Europe battles
122. ^ Jones S (14 March 2020). "Spain orders nationwide 	lockdown	 to
125. ^ ^a ^b ^c ^d Coronavirus: The world in 	lockdown	 in maps and
home. This map shows which cities and states are under 	lockdown	".
129. ^ Nair S (29 March 2020). "For a billion Indians, 	lockdown	 has not
130. ^ "Chaos and hunger amid India coronavirus 	lockdown	". Al-Jazeera.
