Contexte Gauche	Mot Cible	Contexte Droit
the public health emergency included travel restrictions, 	lockdown	s,
advisories to stringent 	lockdown	s. Outbreak control strategies are
contact tracing, mass testing, border quarantine, 	lockdown	s, and
	lockdown	s and are widely considered the most strict. The New Zealand
so-called "circuit breaker 	lockdown	s" and financial support for those
most stringent 	lockdown	 measures. Subsequent data from China's health
Main articles: COVID-19 	lockdown	s, COVID-19 pandemic by country and
National reactions ranged from strict 	lockdown	s to public education
campaigns.^[267] WHO recommended that curfews and 	lockdown	s should be
people worldwide were under some form of 	lockdown	.^[269] This increased
	lockdown	s. A February 2021 study found that protests against
China opted for containment, instituting strict 	lockdown	s to eliminate
a nationwide 	lockdown	 starting 24 March 2020,^[290] with a phased
Kolkata.^[291] Post-	lockdown	, the Government of India introduced a
worldwide to introduce a national 	lockdown	.^[318] By 13 March 2020, the
were in 	lockdown	 in Europe.^[322] Despite deployment of COVID-19
restrictions but no national 	lockdown	.^[337]^[338]^[339]^[340] By
longer-term measures, based on the assumption that after 	lockdown	 the
[250px-Open_Ohio_Rally_IMG_0910_%2849799974031%29.jpg] Anti-	lockdown	
pandemic and its accompanying 	lockdown	s and travel restrictions slowed
	lockdown	s and other measures resulted in a 26% decrease in coal
presence during COVID 	lockdown	s found complex patterns of animal
to 	lockdown	 orders or low sales.^[611]^[612] Hackers, cybercriminals
Despite strong economic rebounds following the initial 	lockdown	s in
^ Doyle M (11 October 2020). "WHO doctor says 	lockdown	s should not be
^ "Coronavirus: Half of humanity now on 	lockdown	 as 90 countries call
^ "A third of the global population is on coronavirus 	lockdown	 â
^ Sugue M (9 February 2021). "German anti-	lockdown	 protests led to
^ Henley J (18 March 2020). "More than 250m in 	lockdown	 in EU as
^ "Spain poised to tighten coronavirus 	lockdown	 after record daily
regions to 	lockdown	 if necessary". Euroactiv. 26 August 2020.
^ Milne R (8 May 2020). "Architect of Sweden's no-	lockdown	 strategy
nationwide 	lockdown	 measures, telling cafes, pubs and restaurants to
^ "Anti-	lockdown	 protests grow across US". BBC News. Archived from
* 	lockdown	
* 	lockdown	
+ local 	lockdown	 regulations
+ 	lockdown	s
+ 	lockdown	s
