Contexte Gauche	Mot Cible	Contexte Droit
gyms, spas, and other small businesses harmed by 	lockdown	 restrictions
During the initial 	lockdown	s, county jails took steps to reduce the
* 	lockdown	
* 	lockdown	
+ local 	lockdown	 regulations
+ 	lockdown	s
+ 	lockdown	s
