 id 	 url 	 gestion de robots.txt 	 code http 	 encodage initial de la page 	 lien vers la page brute 	 lien vers le dump textuel 	 nombre total de mots dans le dump 	 nombre d'occurrences du mot cible dans le dump
1	https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000041728476	Allow	403					
2	<a href=https://fr.wikipedia.org/wiki/Confinement_(mesure_sanitaire)>https://fr.wikipedia.org/wiki/Confinement_(mesure_sanitaire)</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-2.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-2.txt>Lien dump</a>	    6544	      64
3	<a href=https://www.radiofrance.fr/franceculture/podcasts/carnets-de-sante/comment-a-ete-vecu-le-confinement-quelles-ont-ete-les-consequences-materielles-et-sociales-5070477>https://www.radiofrance.fr/franceculture/podcasts/carnets-de-sante/comment-a-ete-vecu-le-confinement-quelles-ont-ete-les-consequences-materielles-et-sociales-5070477</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-3.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-3.txt>Lien dump</a>	    1787	      21
4	<a href=https://www.inserm.fr/actualite/effets-negatifs-premier-confinement-sur-hygiene-vie-francais/>https://www.inserm.fr/actualite/effets-negatifs-premier-confinement-sur-hygiene-vie-francais/</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-4.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-4.txt>Lien dump</a>	    1511	      10
5	<a href=https://www.insee.fr/fr/statistiques/4513259>https://www.insee.fr/fr/statistiques/4513259</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-5.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-5.txt>Lien dump</a>	    4166	      38
6	https://www.vie-publique.fr/en-bref/276947-covid-19-un-2e-confinement-national-compter-du-29-octobre-minuit&ved=2ahUKEwiioqa_zbKRAxU5Q6QEHaLvHxg4HhAWegQIFRAB&usg=AOvVaw1FEVVMzpZvg9iAQFVzg1Ko	Allow	404					
7	https://www.gendarmerie.interieur.gouv.fr/gendinfo/l-info-en-continu/coronavirus-le-confinement-prolonge-jusqu-au-11-mai	Allow	403					
8	<a href=https://actu.orange.fr/france/covid-19-les-habitudes-du-confinement-qui-ont-marque-notre-quotidien-il-y-a-cinq-ans-magic-CNT000002hVeZ5.html>https://actu.orange.fr/france/covid-19-les-habitudes-du-confinement-qui-ont-marque-notre-quotidien-il-y-a-cinq-ans-magic-CNT000002hVeZ5.html</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-8.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-8.txt>Lien dump</a>	     990	       5
9	https://www.ouest-france.fr/sante/virus/coronavirus/confinement/covid-cinq-ans-apres-quel-souvenir-positif-gardez-vous-du-confinement-racontez-nous-4ce0e17c-ead4-11ef-b9dd-cfcb5f3afe89	Allow	403					
10	<a href=https://presse.inserm.fr/canal-detox/un-confinement-inutile-vraiment/>https://presse.inserm.fr/canal-detox/un-confinement-inutile-vraiment/</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-10.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-10.txt>Lien dump</a>	     956	      16
