 id 	 url 	 gestion de robots.txt 	 code http 	 encodage initial de la page 	 lien vers la page brute 	 lien vers le dump textuel 	 nombre total de mots dans le dump 	 nombre d'occurrences du mot cible dans le dump
26	<a href=https://www.aljazeera.com/news/2025/12/27/israeli-forces-take-over-homes-impose-curfew-on-west-banks-qabatiya>https://www.aljazeera.com/news/2025/12/27/israeli-forces-take-over-homes-impose-curfew-on-west-banks-qabatiya</a>	Allow	200	utf-8	<a href=../aspirations/en/en-26.html>Lien page brute</a>	<a href=../dumps-text/en/en-26.txt>Lien dump</a>	     846	       2
27	<a href=https://www.koreaherald.com/article/10644657>https://www.koreaherald.com/article/10644657</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-27.html>Lien page brute</a>	<a href=../dumps-text/en/en-27.txt>Lien dump</a>	    1383	       2
28	https://www.iwm.org.uk/history/fun-at-home-entertainment-second-world-war	Allow	403					
29	<a href=https://en.wikipedia.org/wiki/2025_India0.000000E+00230	<a href=https://theglobepost.com/2025/12/17/ukraine-lost-generation-lockdown/>https://theglobepost.com/2025/12/17/ukraine-lost-generation-lockdown/</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-30.html>Lien page brute</a>	<a href=../dumps-text/en/en-30.txt>Lien dump</a>	    2623	       1
31	<a href=https://www.theguardian.com/world/2020/mar/30/paris-lockdown-leaves-streets-stuck-1942-abandoned-film-set>https://www.theguardian.com/world/2020/mar/30/paris-lockdown-leaves-streets-stuck-1942-abandoned-film-set</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-31.html>Lien page brute</a>	<a href=../dumps-text/en/en-31.txt>Lien dump</a>	    1219	       3
32	<a href=https://www.bbc.com/news/uk-scotland-edinburgh-east-fife-52757933>https://www.bbc.com/news/uk-scotland-edinburgh-east-fife-52757933</a>	Allow	200	utf-8	<a href=../aspirations/en/en-32.html>Lien page brute</a>	<a href=../dumps-text/en/en-32.txt>Lien dump</a>	    1195	       9
33	https://www.science.org/content/article/mass-testing-school-closings-lockdowns-countries-pick-tactics-war-against-coronavirus	Allow	403					
34	<a href=https://verfassungsblog.de/from-one-state-of-emergency-to-another-emergency-powers-in-france/>https://verfassungsblog.de/from-one-state-of-emergency-to-another-emergency-powers-in-france/</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-34.html>Lien page brute</a>	<a href=../dumps-text/en/en-34.txt>Lien dump</a>	    3184	       6
35	<a href=https://www.euronews.com/2020/04/02/coronavirus-in-europe-spain-s-death-toll-hits-10-000-after-record-950-new-deaths-in-24-hou>https://www.euronews.com/2020/04/02/coronavirus-in-europe-spain-s-death-toll-hits-10-000-after-record-950-new-deaths-in-24-hou</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-35.html>Lien page brute</a>	<a href=../dumps-text/en/en-35.txt>Lien dump</a>	    3467	       3
36	<a href=https://unherd.com/newsroom/dominic-cummings-later-covid-lockdowns-were-unnecessary/>https://unherd.com/newsroom/dominic-cummings-later-covid-lockdowns-were-unnecessary/</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-36.html>Lien page brute</a>	<a href=../dumps-text/en/en-36.txt>Lien dump</a>	     961	      16
37	https://www.avigilon.com/blog/lockdown-security-systems	Allow	200					
38	<a href=https://en.wikipedia.org/wiki/COVID-19_pandemic>https://en.wikipedia.org/wiki/COVID-19_pandemic</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-38.html>Lien page brute</a>	<a href=../dumps-text/en/en-38.txt>Lien dump</a>	   41576	      39
39	<a href=https://www.elon.edu/u/imagining/surveys/xii-2021/post-covid-new-normal-2025/anonymous/>https://www.elon.edu/u/imagining/surveys/xii-2021/post-covid-new-normal-2025/anonymous/</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-39.html>Lien page brute</a>	<a href=../dumps-text/en/en-39.txt>Lien dump</a>	   62967	       4
40	<a href=https://www.bbc.com/news/articles/cpq1q49r08go>https://www.bbc.com/news/articles/cpq1q49r08go</a>	Allow	200	utf-8	<a href=../aspirations/en/en-40.html>Lien page brute</a>	<a href=../dumps-text/en/en-40.txt>Lien dump</a>	    2005	      15
41	https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2025.1457895/full	Allow	200	utf-8				
42	https://www.investopedia.com/terms/l/lockdown.asp	Allow	403					
43	<a href=https://www.dictionary.com/browse/lockdown>https://www.dictionary.com/browse/lockdown</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-43.html>Lien page brute</a>	<a href=../dumps-text/en/en-43.txt>Lien dump</a>	     598	      15
44	<a href=https://www.fitchburgstate.edu/about/university-police/emergency-management-and-preparedness/lockdown-procedures>https://www.fitchburgstate.edu/about/university-police/emergency-management-and-preparedness/lockdown-procedures</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-44.html>Lien page brute</a>	<a href=../dumps-text/en/en-44.txt>Lien dump</a>	    1449	       7
45	<a href=https://aaqr.org/articles/aaqr-21-12-ssea-0376>https://aaqr.org/articles/aaqr-21-12-ssea-0376</a>	Allow	200	utf-8	<a href=../aspirations/en/en-45.html>Lien page brute</a>	<a href=../dumps-text/en/en-45.txt>Lien dump</a>	   12471	     157
46	<a href=https://nymag.com/intelligencer/article/covid-lockdowns-big-fail-joe-nocera-bethany-mclean-book-excerpt.html>https://nymag.com/intelligencer/article/covid-lockdowns-big-fail-joe-nocera-bethany-mclean-book-excerpt.html</a>	Allow	200	utf-8	<a href=../aspirations/en/en-46.html>Lien page brute</a>	<a href=../dumps-text/en/en-46.txt>Lien dump</a>	    7394	      59
47	<a href=https://nymag.com/intelligencer/article/covid-lockdowns-big-fail-joe-nocera-bethany-mclean-book-excerpt.html>https://nymag.com/intelligencer/article/covid-lockdowns-big-fail-joe-nocera-bethany-mclean-book-excerpt.html</a>	Allow	200	utf-8	<a href=../aspirations/en/en-47.html>Lien page brute</a>	<a href=../dumps-text/en/en-47.txt>Lien dump</a>	    7394	      59
48	https://www.mdpi.com/2077-0383/9/12/3906	Allow	403					
49	<a href=https://www.understandingsociety.ac.uk/news/2020/11/24/lockdown-has-forced-people-to-live-for-longer-in-unsuitable-housing/>https://www.understandingsociety.ac.uk/news/2020/11/24/lockdown-has-forced-people-to-live-for-longer-in-unsuitable-housing/</a>	Allow	200	UTF-8	<a href=../aspirations/en/en-49.html>Lien page brute</a>	<a href=../dumps-text/en/en-49.txt>Lien dump</a>	    1084	       5
